120  
 -4.000000000000000e+00 	 -3.000000000000000e+00
 -3.933333333333333e+00 	 -2.950000000000000e+00
 -3.866666666666667e+00 	 -2.900000000000000e+00
 -3.800000000000000e+00 	 -2.850000000000000e+00
 -3.733333333333333e+00 	 -2.800000000000000e+00
 -3.666666666666667e+00 	 -2.750000000000000e+00
 -3.600000000000000e+00 	 -2.700000000000000e+00
 -3.533333333333333e+00 	 -2.650000000000000e+00
 -3.466666666666667e+00 	 -2.600000000000000e+00
 -3.400000000000000e+00 	 -2.550000000000000e+00
 -3.333333333333333e+00 	 -2.500000000000000e+00
 -3.266666666666667e+00 	 -2.450000000000000e+00
 -3.200000000000000e+00 	 -2.400000000000000e+00
 -3.133333333333333e+00 	 -2.350000000000000e+00
 -3.066666666666666e+00 	 -2.300000000000000e+00
 -3.000000000000000e+00 	 -2.250000000000000e+00
 -2.933333333333334e+00 	 -2.200000000000000e+00
 -2.866666666666667e+00 	 -2.150000000000000e+00
 -2.800000000000000e+00 	 -2.100000000000000e+00
 -2.733333333333333e+00 	 -2.050000000000000e+00
 -2.666666666666667e+00 	 -2.000000000000000e+00
 -2.600000000000000e+00 	 -1.950000000000000e+00
 -2.533333333333333e+00 	 -1.900000000000000e+00
 -2.466666666666667e+00 	 -1.850000000000000e+00
 -2.400000000000000e+00 	 -1.800000000000000e+00
 -2.333333333333333e+00 	 -1.750000000000000e+00
 -2.266666666666667e+00 	 -1.700000000000000e+00
 -2.200000000000000e+00 	 -1.650000000000000e+00
 -2.133333333333333e+00 	 -1.600000000000000e+00
 -2.066666666666666e+00 	 -1.550000000000000e+00
 -2.000000000000000e+00 	 -1.500000000000000e+00
 -1.933333333333334e+00 	 -1.450000000000000e+00
 -1.866666666666667e+00 	 -1.400000000000000e+00
 -1.800000000000000e+00 	 -1.350000000000000e+00
 -1.733333333333333e+00 	 -1.300000000000000e+00
 -1.666666666666667e+00 	 -1.250000000000000e+00
 -1.600000000000000e+00 	 -1.200000000000000e+00
 -1.533333333333333e+00 	 -1.150000000000000e+00
 -1.466666666666667e+00 	 -1.100000000000000e+00
 -1.400000000000000e+00 	 -1.050000000000000e+00
 -1.333333333333333e+00 	 -1.000000000000000e+00
 -1.266666666666667e+00 	 -9.499999999999997e-01
 -1.200000000000000e+00 	 -8.999999999999999e-01
